Date of Measurement,Device Model,Operating System Version,Task Type,Brightness Level (%),Battery Health (%),Device Temperature (°C),CPU Utilization (%),Memory Usage (% RAM),Battery Life (minutes)
2025-04-09,iPhone 15 Pro,ios 17.4,Idle,28,85,49.7,45,47,396
2025-04-16,Pixel 7,ios 17.4,Streaming,90,94,42.6,50,75,319
2025-04-25,"MacBook Pro 14""",Android 13,Gaming,79,85,48.4,50,38,156
2025-04-10,Galaxy S22,Windows 11 23H2,Gaming,77,93,45.7,60,46,479
2025-04-14,"MacBook Pro 14""",Windows 11 23H2,Idle,90,85,54.3,87,45,304
2025-04-28,iPad Air 5,Android 13,Idle,28,98,49.6,34,57,152
2025-04-15,Pixel 7,Windows 11 23H2,Idle,64,97,41.9,51,69,361
2025-04-30,"MacBook Pro 14""",Windows 11 23H2,Video Editing,99,92,39.5,85,34,229
2025-04-22,Pixel 7,ios 17.4,Streaming,100,93,51.6,66,48,314
2025-04-26,Dell XPS 13,iPadOS 17.4,Video Editing,36,100,49.4,45,76,316
2025-04-20,HP Spectre x360,iPadOS 17.4,Coding,84,100,38.4,14,48,397
2025-04-04,Galaxy Tab S8,Android 13,Gaming,47,96,47.2,88,64,571
2025-04-29,"MacBook Pro 14""",macOS 13.3.1,Idle,42,96,41.0,19,75,524
2025-04-02,Galaxy S22,Windows 11 23H2,Video Editing,39,89,37.7,47,59,164
2025-04-15,Lenovo Yoga 9i,iPadOS 17.4,Streaming,42,86,39.5,43,77,659
2025-04-29,Pixel 7,Android 13,Idle,60,91,39.2,19,37,483
2025-04-16,Surface Pro 9,Windows 11 23H2,Gaming,49,99,45.1,14,50,228
2025-04-03,iPhone 15 Pro,iPadOS 17.4,Streaming,92,87,37.3,79,68,237
2025-04-02,Dell XPS 13,iPadOS 17.4,Idle,44,94,42.8,59,52,246
2025-04-14,Galaxy S22,macOS 13.3.1,Video Editing,25,96,42.0,66,60,376
2025-04-25,"MacBook Pro 14""",ios 17.4,Streaming,59,85,39.1,15,72,415
2025-04-19,Galaxy S22,macOS 13.3.1,Streaming,96,86,51.2,62,63,635
2025-04-24,Galaxy Tab S8,Windows 11 23H2,Streaming,54,93,35.3,66,53,255
2025-04-25,Galaxy S22,Android 13,Video Editing,87,97,39.1,67,80,407
2025-04-11,iPad Air 5,iPadOS 17.4,Gaming,33,88,46.6,83,47,395
2025-04-21,Dell XPS 13,Windows 11 23H2,Coding,81,90,38.4,90,76,551
2025-04-01,Dell XPS 13,ios 17.4,Coding,50,85,54.8,38,28,163
2025-04-28,Pixel 7,Android 13,Gaming,24,100,48.9,67,73,155
2025-04-24,Lenovo Yoga 9i,ios 17.4,Coding,55,89,43.9,31,59,581
2025-04-01,Galaxy Tab S8,Android 13,Video Editing,81,99,35.5,54,71,221
2025-04-25,Lenovo Yoga 9i,Android 14,Gaming,39,88,51.4,15,63,447
2025-04-25,iPad Air 5,Windows 11 23H2,Streaming,88,87,53.5,82,45,566
2025-04-23,Pixel 7,ios 17.4,Video Editing,93,93,45.3,34,68,645
2025-04-02,"MacBook Pro 14""",Windows 11 23H2,Idle,31,96,47.6,24,72,482
2025-04-11,Surface Pro 9,Windows 11 23H2,Video Editing,86,98,50.0,54,34,286
2025-04-22,iPad Air 5,iPadOS 17.4,Video Editing,70,93,36.2,61,58,533
2025-04-23,HP Spectre x360,macOS 13.3.1,Gaming,61,96,42.9,64,68,483
2025-04-15,Galaxy Tab S8,macOS 13.3.1,Gaming,66,97,51.5,16,61,334
2025-04-03,"MacBook Pro 14""",ios 17.4,Gaming,71,90,35.7,11,26,255
2025-04-10,HP Spectre x360,Windows 11 23H2,Idle,90,98,46.4,76,28,173
2025-04-03,HP Spectre x360,macOS 13.3.1,Video Editing,86,96,50.1,76,42,584
2025-04-19,Galaxy S22,Android 13,Idle,56,97,44.6,34,56,645
2025-04-22,Lenovo Yoga 9i,Windows 11 23H2,Idle,47,90,41.9,17,48,396
2025-04-16,iPhone 15 Pro,Android 13,Gaming,86,89,40.1,63,25,231
2025-04-26,Dell XPS 13,macOS 13.3.1,Idle,46,92,42.0,27,37,221
2025-04-02,Dell XPS 13,ios 17.4,Video Editing,82,87,38.8,12,80,357
2025-04-17,Surface Pro 9,Android 13,Gaming,80,96,42.6,55,62,282
2025-04-05,Dell XPS 13,iPadOS 17.4,Coding,100,98,54.2,26,38,656
2025-04-02,Galaxy S22,macOS 13.3.1,Streaming,94,100,44.9,74,71,150
2025-04-25,HP Spectre x360,macOS 13.3.1,Coding,42,85,47.7,59,25,277
2025-04-08,Dell XPS 13,ios 17.4,Gaming,100,91,49.3,64,80,426
2025-04-17,Galaxy Tab S8,ios 17.4,Idle,20,87,49.9,21,42,561
2025-04-28,Galaxy Tab S8,Windows 11 23H2,Streaming,63,89,40.5,57,55,352
2025-04-07,iPad Air 5,Android 13,Gaming,68,86,50.1,25,63,228
2025-04-18,"MacBook Pro 14""",Android 13,Video Editing,28,91,45.0,21,44,564
2025-04-03,Galaxy S22,iPadOS 17.4,Coding,87,85,35.7,60,40,211
2025-04-10,iPad Air 5,ios 17.4,Gaming,75,88,47.2,72,57,291
2025-04-07,iPhone 15 Pro,Windows 11 23H2,Video Editing,25,94,49.8,26,76,432
2025-04-22,iPad Air 5,macOS 13.3.1,Gaming,58,99,54.8,85,74,361
2025-04-01,"MacBook Pro 14""",ios 17.4,Gaming,45,89,44.8,37,44,387
2025-04-11,Galaxy Tab S8,Windows 11 23H2,Video Editing,38,98,36.2,55,66,263
2025-04-21,iPhone 15 Pro,iPadOS 17.4,Idle,87,91,41.4,39,76,239
2025-04-02,Dell XPS 13,ios 17.4,Idle,67,94,49.7,72,79,207
2025-04-10,Galaxy S22,iPadOS 17.4,Idle,74,97,40.4,21,27,456
2025-04-02,Pixel 7,ios 17.4,Streaming,29,96,45.7,47,75,354
2025-04-01,Galaxy S22,Windows 11 23H2,Gaming,35,87,54.9,84,33,186
2025-04-27,iPhone 15 Pro,Windows 11 23H2,Gaming,100,88,37.4,44,73,638
2025-05-01,Pixel 7,Android 14,Video Editing,51,97,50.9,14,61,514
2025-04-24,Galaxy S22,ios 17.4,Video Editing,33,89,35.8,64,33,268
2025-04-03,Surface Pro 9,macOS 13.3.1,Idle,94,100,36.5,68,72,257
2025-04-09,Dell XPS 13,Android 13,Coding,54,96,41.8,78,27,527
2025-04-02,Pixel 7,macOS 13.3.1,Streaming,58,98,46.8,61,80,158
2025-04-07,Pixel 7,Android 13,Idle,82,87,46.4,77,64,128
2025-04-24,iPhone 15 Pro,Android 13,Idle,64,93,47.9,54,36,515
2025-04-25,Dell XPS 13,iPadOS 17.4,Gaming,40,95,37.5,74,78,170
2025-04-28,Pixel 7,Windows 11 23H2,Gaming,27,87,36.0,74,77,248
2025-04-06,iPhone 15 Pro,Android 14,Video Editing,66,90,48.8,47,35,599
2025-04-29,Galaxy S22,macOS 13.3.1,Gaming,36,85,42.2,80,51,216
2025-04-10,Pixel 7,Android 13,Video Editing,54,94,41.8,66,50,149
2025-04-03,iPad Air 5,macOS 13.3.1,Video Editing,82,97,42.3,62,50,172
2025-04-19,Dell XPS 13,Windows 11 23H2,Gaming,97,90,40.0,70,64,238
2025-04-15,Surface Pro 9,macOS 13.3.1,Idle,64,100,38.7,56,49,448
2025-04-15,Pixel 7,ios 17.4,Coding,26,87,43.6,38,76,135
2025-04-19,iPhone 15 Pro,Android 13,Video Editing,62,86,40.9,81,60,295
2025-04-28,Surface Pro 9,iPadOS 17.4,Video Editing,41,94,37.2,83,49,200
2025-05-01,Galaxy S22,Android 14,Streaming,87,97,38.6,35,33,194
2025-04-09,HP Spectre x360,iPadOS 17.4,Coding,97,92,50.7,30,33,284
2025-04-12,Dell XPS 13,Android 14,Video Editing,77,85,54.5,56,42,413
2025-04-07,HP Spectre x360,Android 14,Coding,29,99,42.2,67,40,399
2025-04-09,"MacBook Pro 14""",macOS 13.3.1,Idle,77,94,46.2,42,32,587
2025-04-22,Pixel 7,iPadOS 17.4,Streaming,29,92,51.1,48,31,230
2025-04-09,Dell XPS 13,macOS 13.3.1,Coding,30,96,50.4,32,74,271
2025-04-16,Lenovo Yoga 9i,Windows 11 23H2,Gaming,53,93,41.1,26,32,566
2025-04-12,Dell XPS 13,ios 17.4,Coding,75,87,40.9,77,44,597
2025-04-21,"MacBook Pro 14""",Windows 11 23H2,Idle,30,99,39.2,24,78,564
2025-04-05,iPad Air 5,iPadOS 17.4,Streaming,82,100,35.2,65,28,586
2025-04-14,iPhone 15 Pro,iPadOS 17.4,Idle,85,98,41.5,76,29,183
2025-04-10,Galaxy Tab S8,Android 13,Gaming,34,98,41.4,31,51,199
2025-04-16,Galaxy S22,Windows 11 23H2,Streaming,54,87,47.2,55,68,141
2025-04-01,Lenovo Yoga 9i,iPadOS 17.4,Gaming,84,97,35.9,35,77,516
