Date of Measurement,Device Model,Operating System Version,Task Type,Brightness Level (%),Battery Life (hours:minutes),Battery Health (%),Device Temperature (°C),CPU Utilization (%),Memory Usage (% RAM)
2025-04-09,iPhone 15 Pro,ios 17.4,Idle,28.0,6:36,85.0,49.7,45.0,47.0
2025-04-16,Pixel 7,ios 17.4,Streaming,90.0,5:19,94.0,42.6,50.0,75.0
2025-04-25,"MacBook Pro 14""",Android 13,Gaming,79.0,2:36,85.0,48.4,50.0,38.0
2025-04-10,Galaxy S22,Windows 11 23H2,Gaming,77.0,7:59,93.0,45.7,60.0,46.0
2025-04-14,"MacBook Pro 14""",Windows 11 23H2,Idle,90.0,5:04,85.0,54.3,87.0,45.0
2025-04-28,iPad Air 5,Android 13,Idle,28.0,2:32,98.0,49.6,34.0,57.0
2025-04-15,Pixel 7,Windows 11 23H2,Idle,64.0,6:01,97.0,41.9,51.0,69.0
2025-04-30,"MacBook Pro 14""",Windows 11 23H2,Video Editing,99.0,3:49,92.0,39.5,85.0,34.0
2025-04-22,Pixel 7,ios 17.4,Streaming,100.0,5:14,93.0,51.6,66.0,48.0
2025-04-26,Dell XPS 13,iPadOS 17.4,Video Editing,36.0,5:16,100.0,49.4,45.0,76.0
2025-04-20,HP Spectre x360,iPadOS 17.4,Coding,84.0,6:37,100.0,38.4,14.0,48.0
2025-04-04,Galaxy Tab S8,Android 13,Gaming,47.0,9:31,96.0,47.2,88.0,64.0
2025-04-29,"MacBook Pro 14""",macOS 13.3.1,Idle,42.0,8:44,96.0,41.0,19.0,75.0
2025-04-02,Galaxy S22,Windows 11 23H2,Video Editing,39.0,2:44,89.0,37.7,47.0,59.0
2025-04-15,Lenovo Yoga 9i,iPadOS 17.4,Streaming,42.0,10:59,86.0,39.5,43.0,77.0
2025-04-29,Pixel 7,Android 13,Idle,60.0,8:03,91.0,39.2,19.0,37.0
2025-04-16,Surface Pro 9,Windows 11 23H2,Gaming,49.0,3:48,99.0,45.1,14.0,50.0
2025-04-03,iPhone 15 Pro,iPadOS 17.4,Streaming,92.0,3:57,87.0,37.3,79.0,68.0
2025-04-02,Dell XPS 13,iPadOS 17.4,Idle,44.0,4:06,94.0,42.8,59.0,52.0
2025-04-14,Galaxy S22,macOS 13.3.1,Video Editing,25.0,6:16,96.0,42.0,66.0,60.0
2025-04-25,"MacBook Pro 14""",ios 17.4,Streaming,59.0,6:55,85.0,39.1,15.0,72.0
2025-04-19,Galaxy S22,macOS 13.3.1,Streaming,96.0,10:35,86.0,51.2,62.0,63.0
2025-04-24,Galaxy Tab S8,Windows 11 23H2,Streaming,54.0,4:15,93.0,35.3,66.0,53.0
2025-04-25,Galaxy S22,Android 13,Video Editing,87.0,6:47,97.0,39.1,67.0,80.0
2025-04-11,iPad Air 5,iPadOS 17.4,Gaming,33.0,6:35,88.0,46.6,83.0,47.0
2025-04-21,Dell XPS 13,Windows 11 23H2,Coding,81.0,9:11,90.0,38.4,90.0,76.0
2025-04-01,Dell XPS 13,ios 17.4,Coding,50.0,2:43,85.0,54.8,38.0,28.0
2025-04-28,Pixel 7,Android 13,Gaming,24.0,2:35,100.0,48.9,67.0,73.0
2025-04-24,Lenovo Yoga 9i,ios 17.4,Coding,55.0,9:41,89.0,43.9,31.0,59.0
2025-04-01,Galaxy Tab S8,Android 13,Video Editing,81.0,3:41,99.0,35.5,54.0,71.0
